symbol_id,lookback,candle_interval,macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate,net_return,max_drawdown,calmar_ratio,run_timestamp
1,YTD,15m,8,26,7,14,3,14,12,21,55,14,14,100,20,14,2.0,14,7,60,50,,,75.0,20.652323507325157,-0.0318304360821059,33.10221802892988,2026-04-25 16:08:07.651715
1,YTD,15m,8,26,7,14,3,20,8,21,55,7,7,100,10,14,1.5,20,14,120,0,,,68.75,20.345653421236435,-0.0291059594926207,39.9155441492741,2026-04-25 16:08:53.550082
1,YTD,15m,8,26,7,14,3,20,8,34,55,7,7,60,20,14,1.5,20,14,120,50,,,68.42105263157895,22.975674241350728,-0.0215710114319949,78.66017606257793,2026-04-25 16:09:21.710495
1,YTD,15m,8,26,7,14,3,20,12,21,55,14,14,100,10,14,2.0,20,7,120,50,,,67.56756756756756,20.049787506847338,-0.0243015189196705,50.7538307783011,2026-04-25 16:09:59.556076
1,YTD,15m,8,26,7,14,3,20,12,21,89,14,14,60,10,20,2.0,20,14,60,50,,,70.0,20.48961207029941,-0.0144621651521719,75.24945309511588,2026-04-25 16:10:12.322752
1,YTD,15m,8,26,7,14,5,14,8,21,55,7,7,60,20,20,2.0,14,7,60,50,,,66.66666666666666,22.072725206322588,-0.0190225279697621,58.48120291663681,2026-04-25 16:10:45.517046
1,YTD,15m,8,26,7,14,5,14,12,21,55,7,7,100,20,14,2.0,20,7,60,50,,,65.3061224489796,20.53542978318005,-0.0269198552789948,40.9550302262849,2026-04-25 16:11:44.295780
1,YTD,15m,8,26,7,14,5,14,12,34,55,14,7,60,10,20,1.5,20,7,60,50,,,76.47058823529412,20.361751078010972,-0.0300768337521268,35.11087094258129,2026-04-25 16:12:17.392952
1,YTD,15m,8,26,7,14,5,20,8,21,89,14,7,100,10,14,2.0,14,7,60,50,,,65.78947368421053,21.040653902041925,-0.014757526179521,101.0290490024462,2026-04-25 16:12:58.976849
1,YTD,15m,8,26,7,14,5,20,8,21,89,14,7,100,20,14,1.5,14,14,60,0,,,70.96774193548387,23.802234167895385,-0.0166325615308232,93.48159417709113,2026-04-25 16:13:00.157168
1,YTD,15m,8,26,7,14,5,20,8,34,89,7,14,60,20,20,2.0,14,7,60,0,,,71.875,20.506084704875622,-0.0267375099755369,39.90355016512869,2026-04-25 16:13:24.208614
