trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
30,6.7,0.197,-22.29,-22.29,-1.0,0,29,1,5.0,0.5,50
30,6.7,0.197,-22.29,-22.29,-1.0,0,29,1,6.0,0.5,50
30,16.7,0.215,-22.32,-22.32,-1.0,5,24,1,2.0,0.7,50
29,10.3,0.25,-22.35,-22.35,-1.0,1,27,1,4.0,0.7,30
30,10.0,0.186,-22.36,-22.36,-1.0,1,25,4,4.0,0.5,20
30,13.3,0.248,-22.37,-22.37,-1.0,3,25,2,3.0,0.7,25
31,9.7,0.2,-22.37,-22.37,-1.0,2,28,1,2.5,0.5,30
29,10.3,0.241,-22.41,-22.41,-1.0,0,28,1,5.0,0.7,50
29,10.3,0.241,-22.41,-22.41,-1.0,0,28,1,6.0,0.7,50
34,5.9,0.142,-22.45,-22.45,-1.0,1,32,1,3.0,0.3,20
30,6.7,0.195,-22.52,-22.52,-1.0,0,29,1,6.0,0.5,30
29,13.8,0.221,-22.52,-22.52,-1.0,0,25,4,6.0,0.7,20
35,5.7,0.164,-22.52,-22.52,-1.0,1,33,1,4.0,0.3,15
29,13.8,0.221,-22.52,-22.52,-1.0,0,25,4,5.0,0.7,20
30,6.7,0.195,-22.52,-22.52,-1.0,0,29,1,5.0,0.5,30
35,14.3,0.134,-22.53,-22.53,-1.0,2,21,12,2.0,0.5,5
30,16.7,0.213,-22.56,-22.56,-1.0,5,24,1,2.0,0.7,30
29,10.3,0.239,-22.64,-22.64,-1.0,0,28,1,5.0,0.7,30
29,10.3,0.239,-22.64,-22.64,-1.0,0,28,1,6.0,0.7,30
35,14.3,0.192,-22.65,-22.65,-1.0,1,18,16,4.0,0.7,5
30,10.0,0.173,-22.65,-22.65,-1.0,0,26,4,6.0,0.5,20
34,5.9,0.134,-22.65,-22.65,-1.0,1,32,1,2.5,0.3,25
30,10.0,0.173,-22.65,-22.65,-1.0,0,26,4,5.0,0.5,20
34,5.9,0.134,-22.67,-22.67,-1.0,2,32,0,2.0,0.3,50
34,5.9,0.134,-22.67,-22.67,-1.0,2,32,0,2.0,0.3,30
34,5.9,0.134,-22.67,-22.67,-1.0,2,32,0,2.0,0.3,0
