macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,win_rate
20,26,9,14,7,20,68.18181818181817
20,26,9,21,7,20,70.0
20,26,9,21,7,34,73.68421052631578
20,26,9,21,3,34,71.7948717948718
20,26,12,14,3,14,65.51724137931035
20,26,12,10,7,34,69.23076923076923
20,26,12,21,3,14,76.47058823529412
20,26,12,21,3,20,68.29268292682927
20,26,12,21,5,20,75.0
20,26,12,21,7,20,65.78947368421053
20,32,7,10,3,34,71.7948717948718
20,32,7,14,5,14,69.23076923076923
20,32,7,21,5,20,69.23076923076923
20,32,7,21,3,20,76.47058823529412
20,32,9,10,5,20,68.29268292682927
20,32,12,21,7,20,65.38461538461539
20,40,7,10,7,14,81.81818181818183
20,40,7,10,7,20,78.78787878787878
20,40,7,14,7,34,69.23076923076923
20,40,7,21,3,34,65.71428571428571
20,40,9,10,3,20,66.66666666666666
20,40,9,10,5,20,72.72727272727273
20,40,9,14,5,34,69.23076923076923
20,40,9,14,7,20,70.58823529411765
20,40,9,21,3,20,71.42857142857143
20,40,9,21,5,14,75.0
20,40,12,21,5,14,65.71428571428571
