min_body,panic_mult,tp_mult,sl_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
0.05,2.0,3.5,1.5,0,11,72.7,2.701,7.49,10749.21,-1.43,5.233
0.05,2.0,3.5,1.5,12,11,72.7,3.066,4.66,10465.79,-1.34,3.474
0.05,2.0,3.5,1.5,18,11,63.6,4.226,7.57,10757.1,-1.34,5.647
0.05,2.0,3.5,1.5,25,11,72.7,3.199,6.93,10693.31,-1.43,4.842
0.05,2.0,3.5,2.0,0,11,90.9,8.602,10.12,11012.24,-1.31,7.711
0.05,2.0,3.5,2.0,12,11,72.7,4.956,4.12,10412.09,-0.62,6.598
0.05,2.0,3.5,2.0,18,11,63.6,6.528,6.25,10624.85,-0.49,12.719
0.05,2.0,3.5,2.0,25,11,90.9,59.369,9.07,10907.21,-0.15,59.201
0.05,2.0,3.5,2.5,0,11,90.9,7.18,7.81,10781.41,-1.25,6.25
0.05,2.0,3.5,2.5,12,11,72.7,4.96,3.29,10328.77,-0.5,6.579
0.05,2.0,3.5,2.5,18,11,63.6,6.549,4.98,10497.59,-0.39,12.66
