session,adx,tp,sl,pb_pct,trail_dist,risk_pct,trades,wr,pf,ret,mdd
no_overnight,22,5.0,1.5,0.5,0.4,0.02,12,58.333333333333336,2.6833661558718465,17.073561468087696,-7.656999869736428
all,25,4.5,1.5,0.3,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
all,25,4.5,1.5,0.5,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
all,25,4.5,1.5,0.4,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
no_overnight,25,4.5,1.5,0.4,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
no_overnight,25,4.5,1.5,0.3,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
no_overnight,25,4.5,1.5,0.5,0.6,0.02,11,63.63636363636363,3.067335938682734,16.882502460815573,-5.6224277852746125
all,22,4.5,2.5,0.3,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
all,22,4.5,2.5,0.5,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
all,22,4.5,2.5,0.4,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
no_overnight,22,4.5,2.5,0.5,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
no_overnight,22,4.5,2.5,0.3,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
no_overnight,22,4.5,2.5,0.4,0.4,0.02,12,75.0,3.311924174796753,16.720307867052007,-4.790216310019313
no_overnight,22,4.5,2.0,0.3,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
all,22,4.5,2.0,0.5,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
all,22,4.5,2.0,0.3,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
all,22,4.5,2.0,0.4,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
no_overnight,22,4.5,2.0,0.4,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
no_overnight,22,4.5,2.0,0.5,0.4,0.02,12,66.66666666666666,2.7728741156567605,16.637506949999413,-4.559229806416697
all,15,5.0,2.5,0.3,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
all,15,5.0,2.5,0.5,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
no_overnight,15,5.0,2.5,0.5,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
no_overnight,15,5.0,2.5,0.4,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
no_overnight,15,5.0,2.5,0.3,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
all,15,5.0,2.5,0.4,0.4,0.02,16,68.75,2.3247376047876225,16.417011668597326,-2.720477040684164
close_only,22,4.5,1.5,0.3,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,25,4.5,1.5,0.5,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,25,4.5,1.5,0.3,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,25,4.5,1.5,0.4,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,22,4.5,1.5,0.4,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,22,4.5,1.5,0.5,0.4,0.02,8,62.5,3.6589220682140122,16.411205058406008,-3.5730060000836237
close_only,22,5.0,1.5,0.4,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
close_only,22,5.0,1.5,0.5,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
close_only,25,5.0,1.5,0.4,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
close_only,25,5.0,1.5,0.5,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
close_only,25,5.0,1.5,0.3,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
close_only,22,5.0,1.5,0.3,1.0,0.02,8,62.5,3.6610583119610167,16.366691652486544,-3.5730060000836237
no_overnight,25,5.0,1.5,0.4,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
all,25,5.0,1.5,0.3,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
all,25,5.0,1.5,0.4,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
no_overnight,25,5.0,1.5,0.3,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
all,25,5.0,1.5,0.5,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
no_overnight,25,5.0,1.5,0.5,1.0,0.02,11,63.63636363636363,3.0023796473305104,16.30955539740404,-5.6224277852746125
all,12,5.0,2.5,0.5,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
all,12,5.0,2.5,0.4,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
no_overnight,12,5.0,2.5,0.5,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
no_overnight,12,5.0,2.5,0.4,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
no_overnight,12,5.0,2.5,0.3,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
all,12,5.0,2.5,0.3,0.4,0.02,16,68.75,2.313551610455814,16.27838753744375,-2.720477040684164
all,22,5.0,3.5,0.5,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
all,22,5.0,3.5,0.3,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
all,22,5.0,3.5,0.4,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
no_overnight,22,5.0,3.5,0.4,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
no_overnight,22,5.0,3.5,0.3,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
no_overnight,22,5.0,3.5,0.5,0.4,0.02,12,83.33333333333334,4.388135279410718,16.238771432560696,-2.3371567077378064
close_only,25,4.5,1.5,0.4,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
close_only,22,4.5,1.5,0.5,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
close_only,22,4.5,1.5,0.4,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
close_only,25,4.5,1.5,0.3,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
close_only,22,4.5,1.5,0.3,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
close_only,25,4.5,1.5,0.5,0.6,0.02,8,62.5,3.597977433199461,16.035047022640292,-3.5730060000836237
no_overnight,22,5.0,1.5,0.3,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
all,22,5.0,1.5,0.4,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
no_overnight,22,5.0,1.5,0.4,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
all,22,5.0,1.5,0.5,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
no_overnight,22,5.0,1.5,0.5,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
all,22,5.0,1.5,0.3,0.6,0.02,12,58.333333333333336,2.575995726866656,15.97550076831904,-7.656999869736428
no_overnight,20,5.0,2.0,0.4,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
no_overnight,20,5.0,2.0,0.5,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
all,20,5.0,2.0,0.4,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
no_overnight,20,5.0,2.0,0.3,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
all,20,5.0,2.0,0.3,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
all,20,5.0,2.0,0.5,0.4,0.02,13,61.53846153846154,2.345680903006964,15.972677828486926,-4.559229806416697
all,18,5.0,2.5,0.4,0.4,0.02,13,69.23076923076923,2.645751817420729,15.934575101348237,-4.790216310019313
all,18,5.0,2.5,0.5,0.4,0.02,13,69.23076923076923,2.645751817420729,15.934575101348237,-4.790216310019313
no_overnight,18,5.0,2.5,0.5,0.4,0.02,13,69.23076923076923,2.645751817420729,15.934575101348237,-4.790216310019313
no_overnight,18,5.0,2.5,0.4,0.4,0.02,13,69.23076923076923,2.645751817420729,15.934575101348237,-4.790216310019313
all,22,4.5,2.0,0.5,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
all,22,4.5,2.0,0.3,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
all,22,4.5,2.0,0.4,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
no_overnight,22,4.5,2.0,0.3,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
no_overnight,22,4.5,2.0,0.4,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
no_overnight,22,4.5,2.0,0.5,0.6,0.02,12,66.66666666666666,2.6946013412792835,15.902957431677534,-4.559229806416697
all,25,5.0,1.5,0.3,0.4,0.015,11,63.63636363636363,3.11013335344781,15.813861726995215,-5.58835354717854
