be_trig,em_slope,sl,tp,maxb,pf,wr,np,n,dd,calmar,yrs
0.0,0,2.0,2.5,0,1.6984879457467152,60.0,9.468166280845127,30,-4.9214799072804665,1.9238453593681517,"{2002: np.float64(-102.74269478831123), 2003: np.float64(17.723781233120775), 2005: np.float64(132.77765884357), 2006: np.float64(493.6411047871417), 2009: np.float64(129.48671399010297), 2011: np.float64(140.97200055038383), 2012: np.float64(-112.80362518205624), 2013: np.float64(260.55186765485143), 2015: np.float64(132.22878342683555), 2016: np.float64(-93.61811103186004), 2017: np.float64(10.59523182672109), 2018: np.float64(132.79485377278644), 2019: np.float64(-243.5532293381106), 2020: np.float64(-113.12105954553125), 2021: np.float64(-110.65806294652934), 2024: np.float64(128.2559046997313), 2025: np.float64(144.28551013166611)}"
0.0,0,2.0,2.5,20,1.822694994934462,66.66666666666666,9.26173770213547,30,-4.40100810274167,2.104458225461057,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-77.53785704956185), 2005: np.float64(217.90020992954928), 2006: np.float64(395.2756346097167), 2009: np.float64(128.15388355134246), 2011: np.float64(72.1360910702923), 2012: np.float64(-110.93946875257417), 2013: np.float64(278.7231184279031), 2015: np.float64(130.31480096548552), 2016: np.float64(-92.26300953326043), 2017: np.float64(10.441868184065342), 2018: np.float64(77.70071417232184), 2019: np.float64(-238.865522002087), 2020: np.float64(-110.9438007092126), 2021: np.float64(76.79232975033948), 2024: np.float64(128.01404731764669), 2025: np.float64(144.0134250698915)}"
0.0,0,2.0,2.5,25,1.7330396473526166,63.33333333333333,8.965383826424574,30,-3.93582002395464,2.277894764460373,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-97.43644504846718), 2005: np.float64(131.23547685610563), 2006: np.float64(396.4535824685525), 2009: np.float64(126.85936803403752), 2011: np.float64(92.34965486089014), 2012: np.float64(-110.03733755550624), 2013: np.float64(254.16234421174528), 2015: np.float64(128.98613189966105), 2016: np.float64(-91.32231050461228), 2017: np.float64(10.335404550289326), 2018: np.float64(129.5383204808084), 2019: np.float64(-237.58056415437244), 2020: np.float64(-110.34698746391162), 2021: np.float64(104.79479464905161), 2024: np.float64(127.66683099228084), 2025: np.float64(143.622813154216)}"
0.0,0,2.0,2.5,30,1.539363513196945,60.0,7.187271595062496,30,-4.921479907280498,1.4603882837010354,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-94.44410678852438), 2005: np.float64(131.27554911294197), 2006: np.float64(425.35211025400827), 2009: np.float64(127.25159604304787), 2011: np.float64(99.88864810755068), 2012: np.float64(-110.45323238791121), 2013: np.float64(255.1229709217134), 2015: np.float64(129.47364520106126), 2016: np.float64(-91.66747041002161), 2017: np.float64(10.374468030365875), 2018: np.float64(130.0279208226852), 2019: np.float64(-238.47851871331315), 2020: np.float64(-110.76405264267008), 2021: np.float64(-108.35237540019553), 2024: np.float64(125.58354595482145), 2025: np.float64(141.2791561890009)}"
0.0,0,2.0,3.0,0,1.7325465261664166,55.172413793103445,10.75367261213948,29,-4.368397614642445,2.4616972997362265,"{2002: np.float64(-102.74269478831123), 2003: np.float64(42.19714566989917), 2005: np.float64(190.61566496306563), 2006: np.float64(490.5822292802873), 2009: np.float64(156.99592264035056), 2011: np.float64(-110.16115736563928), 2012: np.float64(-111.29735100069503), 2013: np.float64(328.32341596076327), 2015: np.float64(163.17287641561714), 2016: np.float64(-66.20483490870649), 2017: np.float64(43.86728238045609), 2018: np.float64(164.01794341381165), 2019: np.float64(-244.59722849134278), 2020: np.float64(-113.60595679242554), 2021: np.float64(-111.13240247521655), 2024: np.float64(155.5896750631315), 2025: np.float64(199.7467312489024)}"
0.0,0,2.0,3.0,20,2.081661916750927,66.66666666666666,12.399570222262241,30,-4.111497697744503,3.0158280835386173,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-77.53785704956185), 2005: np.float64(250.3538583847794), 2006: np.float64(487.36924933430555), 2009: np.float64(156.06154696739324), 2011: np.float64(73.177417768568), 2012: np.float64(-112.54094492061337), 2013: np.float64(305.1081988415532), 2015: np.float64(147.89702169346248), 2016: np.float64(-66.68100876438616), 2017: np.float64(44.18279488068508), 2018: np.float64(79.52827540418217), 2019: np.float64(-244.48376338235218), 2020: np.float64(-113.55325663572737), 2021: np.float64(78.59852530788234), 2024: np.float64(158.27049062910518), 2025: np.float64(176.94916855525955)}"
0.0,0,2.0,3.0,25,2.050530945322751,63.33333333333333,13.12748084183602,30,-3.5995658113963707,3.646962308696756,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-97.43644504846718), 2005: np.float64(142.19990417463748), 2006: np.float64(512.3421969649116), 2009: np.float64(154.53781042745615), 2011: np.float64(93.7147232681074), 2012: np.float64(-111.66385682444759), 2013: np.float64(329.4045957277749), 2015: np.float64(163.71021004437898), 2016: np.float64(-66.42284959941068), 2017: np.float64(44.01173877874483), 2018: np.float64(138.699557654559), 2019: np.float64(-244.83743368697293), 2020: np.float64(-113.71752281974477), 2021: np.float64(107.99573894839122), 2024: np.float64(158.92446335872242), 2025: np.float64(204.02794760327234)}"
0.0,0,2.0,3.0,30,1.8327561612348446,60.0,11.341558399037257,30,-4.3683976146424675,2.5962742862557646,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-94.44410678852438), 2005: np.float64(124.69518451420481), 2006: np.float64(540.6738750776639), 2009: np.float64(154.7420891447214), 2011: np.float64(101.18629459746484), 2012: np.float64(-111.88812265846046), 2013: np.float64(330.0661723425313), 2015: np.float64(164.0390058413013), 2016: np.float64(-66.55625333618413), 2017: np.float64(44.10013201165174), 2018: np.float64(164.88855849550612), 2019: np.float64(-245.89556226893416), 2020: np.float64(-114.20898264005658), 2021: np.float64(-111.72229857832615), 2024: np.float64(156.41555249365226), 2025: np.float64(200.80699644382508)}"
0.0,0,2.0,3.5,0,1.4916867601835269,48.275862068965516,8.389163770506832,29,-6.574889378073322,1.2759399113974381,"{2002: np.float64(-102.74269478831123), 2003: np.float64(66.67051010667758), 2005: np.float64(233.39694529903397), 2006: np.float64(546.5543778674892), 2009: np.float64(185.66105983121918), 2011: np.float64(-111.71368445209322), 2012: np.float64(-112.86589073113407), 2013: np.float64(369.24322753878005), 2015: np.float64(188.9492051868593), 2016: np.float64(-39.92802628196105), 2017: np.float64(66.28871787764773), 2018: np.float64(-117.68081407683299), 2019: np.float64(-244.2139496168457), 2020: np.float64(-113.42793857233315), 2021: np.float64(-110.95826026435186), 2024: np.float64(182.08789632486722), 2025: np.float64(-46.40430419802786)}"
0.0,0,2.0,3.5,20,2.205652594951438,66.66666666666666,13.861177375808802,30,-3.9289143415060583,3.527991748095847,"{2002: np.float64(-102.74269478831123), 2003: np.float64(-77.53785704956185), 2005: np.float64(267.4738131907627), 2006: np.float64(433.0570730371098), 2009: np.float64(181.79661196821948), 2011: np.float64(73.09916091451835), 2012: np.float64(-112.42059221386558), 2013: np.float64(304.7819122832927), 2015: np.float64(147.7388587520254), 2016: np.float64(-39.40369483044452), 2017: np.float64(65.41822006194042), 2018: np.float64(79.79048876448836), 2019: np.float64(-245.2898528997092), 2020: np.float64(-113.92765405406494), 2021: np.float64(78.85767318115568), 2024: np.float64(238.63969524120589), 2025: np.float64(206.78657602211894)}"
