em,at,pb,mb,pm,sl,tp,ta,td,rl,rh,rs,rx,vm,dl,ds,pf,wr,np,n,dd
34,33,0.15,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.6277116176717497,41.66666666666667,4.78739348539888,12,-4.137381369837345
34,33,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.6277116176717497,41.66666666666667,4.78739348539888,12,-4.137381369837345
34,20,0.25,0.15,2.0,2.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.6195887924459926,53.84615384615385,8.312000904814177,26,-4.368396124725188
34,20,0.25,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.6186978889352568,40.0,14.340184385334052,30,-7.124806872716524
50,28,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.615063974991445,41.66666666666667,9.752472103492819,24,-4.1128749543701
34,20,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,False,1.6132833211116409,57.89473684210527,6.317504090817237,19,-3.9349389039136136
34,25,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,True,1.6106326299518658,41.66666666666667,9.774422054661628,24,-4.1631922754191555
34,25,0.25,0.15,2.0,2.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.6091215532626202,53.333333333333336,4.612783974412596,15,-2.110230668104328
34,28,0.25,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.6091125394378312,58.333333333333336,3.5074107629563693,12,-1.374640885274701
50,33,0.15,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.603813035993132,53.333333333333336,4.589082852082011,15,-3.0795169068970623
50,33,0.1,0.15,2.0,1.0,1.5,99.0,0.5,42,70,30,58,1.0,True,True,1.603813035993132,53.333333333333336,4.589082852082011,15,-3.0795169068970623
34,28,0.1,0.15,2.0,1.5,2.0,99.0,0.5,42,70,30,58,1.0,True,False,1.6035827315805533,57.14285714285714,1.9551349444562038,7,-1.0737556566332265
34,25,0.1,0.15,2.0,1.0,1.5,2.0,0.5,42,70,30,58,1.0,True,False,1.6026802815657901,55.55555555555556,2.6629677529455513,9,-2.0832619171130844
50,28,0.25,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,1.5981248942017623,47.05882352941176,6.110245256359176,17,-3.428606217572817
