rsi_dir,ema_slope,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
1,1,0.2,20,8.0,0.03,3,0.0,0.0,-7.7,-7.7,-1.0
1,1,0.2,20,6.0,0.03,3,0.0,0.0,-7.7,-7.7,-1.0
1,1,0.5,20,6.0,0.02,10,20.0,0.575,-7.72,-10.63,-0.73
1,1,0.5,14,9.0,0.03,16,18.8,0.773,-8.02,-22.33,-0.36
0,0,0.5,14,8.0,0.025,19,21.1,0.79,-8.07,-21.14,-0.38
0,1,0.5,17,8.0,0.025,15,20.0,0.742,-8.12,-13.71,-0.59
0,1,0.5,20,7.0,0.02,11,18.2,0.598,-8.2,-11.93,-0.69
0,1,0.3,14,9.0,0.02,13,15.4,0.629,-8.37,-20.41,-0.41
1,1,0.4,14,9.0,0.02,13,15.4,0.629,-8.37,-20.41,-0.41
1,1,0.3,14,9.0,0.02,13,15.4,0.629,-8.37,-20.41,-0.41
0,1,0.4,14,9.0,0.02,13,15.4,0.629,-8.37,-20.41,-0.41
1,0,0.5,17,7.0,0.02,18,22.2,0.724,-8.44,-16.78,-0.5
0,1,0.5,14,6.0,0.02,17,23.5,0.696,-8.53,-15.97,-0.53
0,0,0.4,14,8.0,0.02,16,18.8,0.686,-8.59,-19.26,-0.45
0,0,0.3,14,8.0,0.02,16,18.8,0.686,-8.59,-19.26,-0.45
1,0,0.4,14,8.0,0.02,16,18.8,0.686,-8.59,-19.26,-0.45
1,0,0.3,14,8.0,0.02,16,18.8,0.686,-8.59,-19.26,-0.45
0,0,0.2,14,9.0,0.02,13,15.4,0.618,-8.62,-22.58,-0.38
0,1,0.2,20,8.0,0.02,4,0.0,0.0,-8.66,-8.66,-1.0
0,1,0.2,20,9.0,0.02,4,0.0,0.0,-8.66,-8.66,-1.0
0,1,0.2,20,6.0,0.02,4,0.0,0.0,-8.66,-8.66,-1.0
0,1,0.2,20,7.0,0.02,4,0.0,0.0,-8.66,-8.66,-1.0
0,1,0.5,14,9.0,0.025,17,17.6,0.746,-8.71,-21.87,-0.4
1,1,0.5,20,6.0,0.025,10,20.0,0.587,-8.8,-12.34,-0.71
1,1,0.5,14,6.0,0.025,16,25.0,0.711,-8.82,-16.91,-0.52
0,1,0.2,17,6.0,0.03,8,25.0,0.498,-8.86,-12.92,-0.69
0,1,0.5,20,7.0,0.025,11,18.2,0.622,-8.94,-13.48,-0.66
0,1,0.5,17,6.0,0.03,15,26.7,0.711,-9.02,-17.06,-0.53
1,1,0.2,17,8.0,0.025,7,14.3,0.418,-9.07,-9.07,-1.0
0,1,0.5,14,7.0,0.03,17,23.5,0.743,-9.17,-19.72,-0.47
0,0,0.2,14,6.0,0.025,13,23.1,0.633,-9.24,-20.8,-0.44
0,1,0.5,20,7.0,0.03,11,18.2,0.632,-9.31,-14.63,-0.64
0,1,0.5,17,8.0,0.03,15,20.0,0.727,-9.32,-15.8,-0.59
1,0,0.2,17,7.0,0.02,11,18.2,0.517,-9.35,-14.11,-0.66
1,1,0.3,17,7.0,0.02,11,18.2,0.525,-9.36,-12.11,-0.77
1,1,0.3,14,6.0,0.025,13,23.1,0.62,-9.36,-17.4,-0.54
1,1,0.4,14,6.0,0.025,13,23.1,0.62,-9.36,-17.4,-0.54
1,1,0.4,17,7.0,0.02,11,18.2,0.525,-9.36,-12.11,-0.77
0,1,0.3,17,7.0,0.02,11,18.2,0.525,-9.36,-12.11,-0.77
0,1,0.3,14,6.0,0.025,13,23.1,0.62,-9.36,-17.4,-0.54
0,1,0.4,17,7.0,0.02,11,18.2,0.525,-9.36,-12.11,-0.77
0,1,0.4,14,6.0,0.025,13,23.1,0.62,-9.36,-17.4,-0.54
0,0,0.2,14,9.0,0.025,13,15.4,0.642,-9.37,-26.18,-0.36
0,1,0.2,17,8.0,0.02,8,12.5,0.408,-9.45,-9.45,-1.0
1,1,0.5,20,6.0,0.03,10,20.0,0.591,-9.46,-13.6,-0.7
0,0,0.2,14,9.0,0.03,13,15.4,0.67,-9.52,-28.82,-0.33
0,0,0.5,14,8.0,0.03,19,21.1,0.772,-9.58,-24.37,-0.39
1,0,0.5,14,9.0,0.02,18,16.7,0.699,-9.65,-21.66,-0.45
1,0,0.5,14,7.0,0.025,18,22.2,0.73,-9.74,-20.77,-0.47
0,0,0.5,14,7.0,0.02,19,21.1,0.7,-9.74,-18.76,-0.52
0,1,0.5,20,6.0,0.02,11,18.2,0.51,-9.92,-12.76,-0.78
0,1,0.2,20,9.0,0.025,4,0.0,0.0,-10.0,-10.0,-1.0
0,1,0.2,20,7.0,0.025,4,0.0,0.0,-10.0,-10.0,-1.0
0,1,0.2,20,8.0,0.025,4,0.0,0.0,-10.0,-10.0,-1.0
0,1,0.2,20,6.0,0.025,4,0.0,0.0,-10.0,-10.0,-1.0
