rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1,0,both,20,1.5,9.0,0.02,24,25.0,0.978,-0.77,-3.67,-0.21
1,0,shorts,17,2.0,10.0,0.02,20,25.0,0.973,-0.89,-2.3,-0.39
0,1,shorts,14,2.0,7.0,0.02,23,30.4,0.973,-0.9,-4.83,-0.19
1,1,both,20,1.5,9.0,0.025,23,26.1,0.97,-1.04,-2.28,-0.46
0,0,both,20,1.5,7.0,0.02,26,30.8,0.97,-1.05,-1.69,-0.62
0,0,shorts,17,1.5,10.0,0.02,22,22.7,0.968,-1.06,-1.39,-0.76
0,1,shorts,20,2.0,8.0,0.02,17,29.4,0.959,-1.07,-1.07,-1.0
1,0,shorts,14,2.0,7.0,0.02,25,32.0,0.97,-1.12,-2.48,-0.45
1,1,shorts,17,1.5,7.0,0.025,19,31.6,0.959,-1.16,-1.16,-1.0
0,0,shorts,20,2.0,8.0,0.02,17,29.4,0.956,-1.17,-1.17,-1.0
0,0,both,20,1.5,8.0,0.02,26,26.9,0.967,-1.18,-3.33,-0.35
1,1,shorts,14,1.5,6.0,0.02,24,33.3,0.963,-1.2,-1.56,-0.77
1,1,shorts,20,2.0,7.0,0.02,15,33.3,0.946,-1.2,-1.2,-1.0
1,1,both,20,2.0,8.0,0.02,23,30.4,0.965,-1.22,-3.78,-0.32
1,0,longs,20,2.0,7.0,0.025,9,33.3,0.899,-1.24,-5.92,-0.21
1,0,longs,20,2.0,7.0,0.02,9,33.3,0.899,-1.24,-5.92,-0.21
1,0,shorts,14,1.5,8.0,0.025,25,28.0,0.969,-1.24,-1.24,-1.0
0,1,shorts,20,1.5,8.0,0.025,17,29.4,0.952,-1.25,-1.25,-1.0
0,1,shorts,14,2.0,6.0,0.025,24,37.5,0.964,-1.26,-5.99,-0.21
0,0,shorts,14,2.0,10.0,0.025,24,25.0,0.969,-1.27,-8.93,-0.14
1,1,shorts,17,2.0,10.0,0.025,19,26.3,0.962,-1.29,-1.29,-1.0
0,0,shorts,20,1.5,8.0,0.025,17,29.4,0.951,-1.29,-1.29,-1.0
