risk_pct,sl_mult,trail_dist,trail_act,di_align,vol_mult,n,wr,pf,ret,mdd,calmar
0.04,1.5,0.2,2.5,False,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.04,1.5,0.2,2.5,True,1.0,57,49.1,1.573,38.77,-13.74,2.82
0.04,1.5,0.2,2.5,True,1.2,51,47.1,1.463,26.68,-12.43,2.15
0.04,1.5,0.2,3.0,False,1.0,57,45.6,1.71,61.73,-15.59,3.96
0.04,1.5,0.2,3.0,False,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.04,1.5,0.2,3.0,True,1.0,55,45.5,1.7,58.01,-15.59,3.72
0.04,1.5,0.2,3.0,True,1.2,50,46.0,1.579,35.38,-11.97,2.95
0.04,1.5,0.2,3.5,False,1.0,55,40.0,1.625,54.92,-13.23,4.15
0.04,1.5,0.2,3.5,False,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.04,1.5,0.2,3.5,True,1.0,53,39.6,1.604,50.46,-13.23,3.81
0.04,1.5,0.2,3.5,True,1.2,47,36.2,1.138,8.24,-20.41,0.4
0.04,1.5,0.3,2.0,False,1.0,61,52.5,1.447,29.06,-14.35,2.03
0.04,1.5,0.3,2.0,False,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.04,1.5,0.3,2.0,True,1.0,59,52.5,1.435,27.05,-14.35,1.89
0.04,1.5,0.3,2.0,True,1.2,53,50.9,1.328,17.42,-13.26,1.31
0.04,1.5,0.3,2.5,False,1.0,59,49.2,1.53,36.8,-13.85,2.66
0.04,1.5,0.3,2.5,False,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.04,1.5,0.3,2.5,True,1.0,57,49.1,1.521,34.67,-13.85,2.5
0.04,1.5,0.3,2.5,True,1.2,51,47.1,1.417,23.71,-12.75,1.86
0.04,1.5,0.3,3.0,False,1.0,57,45.6,1.67,57.27,-15.91,3.6
0.04,1.5,0.3,3.0,False,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.04,1.5,0.3,3.0,True,1.0,55,45.5,1.661,53.88,-15.91,3.39
0.04,1.5,0.3,3.0,True,1.2,50,46.0,1.536,32.35,-12.09,2.68
0.04,1.5,0.3,3.5,False,1.0,55,40.0,1.591,51.24,-13.34,3.84
0.04,1.5,0.3,3.5,False,1.2,47,36.2,1.109,6.45,-21.06,0.31
0.04,1.5,0.3,3.5,True,1.0,53,39.6,1.571,47.09,-13.34,3.53
0.04,1.5,0.3,3.5,True,1.2,47,36.2,1.109,6.45,-21.06,0.31
0.05,1.0,0.1,2.0,False,1.0,63,49.2,1.814,48.38,-11.75,4.12
