tp,td,mb,trades,wr,pf,net,max_dd,calmar
5.0,0.2,15,48,47.91666666666667,1.2413787036347548,15.309421092222037,-12.558255152109133,1.2190723079591874
5.0,0.2,20,47,48.93617021276596,1.200671793009458,13.465501040495328,-16.555312571173832,0.8133643495165114
5.0,0.2,25,47,44.680851063829785,1.2586404041155024,18.359991830828402,-15.036943306452535,1.2209922892340697
5.0,0.2,30,47,46.808510638297875,1.2700338928013215,19.72720532724332,-13.265158644313974,1.487144319657214
5.0,0.3,15,48,47.91666666666667,1.2155051241665684,13.544441628916212,-12.55825515210914,1.0785289409127385
5.0,0.3,20,47,48.93617021276596,1.1744580591225564,11.596369326563654,-16.707602071006537,0.6940774192059171
5.0,0.3,25,47,44.680851063829785,1.2281843627284539,16.011499675447666,-15.130003838641079,1.058261441715917
5.0,0.3,30,47,46.808510638297875,1.2403289383900422,17.351585000244814,-13.360159822590346,1.2987557956384228
5.0,0.4,15,48,47.91666666666667,1.189537547663166,11.804538065100642,-12.55825515210915,0.9399823400719868
5.0,0.4,20,47,48.93617021276596,1.148162163919984,9.755969465999877,-16.85975803374732,0.578654180354893
5.0,0.4,25,47,44.680851063829785,1.1976138375148124,13.707024575923041,-15.311775505692147,0.8951949805447096
5.0,0.4,30,47,46.808510638297875,1.2105015775917154,15.0204901839605,-13.545722081272919,1.1088733471600205
5.5,0.1,15,48,47.91666666666667,1.2774665871009805,17.79214841977382,-12.558255152109133,1.4167691454163251
5.5,0.1,20,47,48.93617021276596,1.23649502622484,16.045855270765532,-16.402889534249155,0.9782334531523768
5.5,0.1,25,47,44.680851063829785,1.298409382070188,21.46723071967368,-14.943882774263928,1.4365229601937282
5.5,0.1,30,47,46.808510638297875,1.3088251311757073,22.870336909892465,-13.170157466037532,1.7365272183623632
5.5,0.2,15,48,47.91666666666667,1.251669140475389,15.991174893439366,-12.558255152109151,1.273359610849574
5.5,0.2,20,47,48.93617021276596,1.2103359218137242,14.136352874705208,-16.555312571173832,0.8538861959827612
5.5,0.2,25,47,44.680851063829785,1.2680397090670676,19.059781783621474,-15.036943306452535,1.2675303348016675
5.5,0.2,30,47,46.808510638297875,1.2792195012330851,20.435078773903825,-13.265158644313974,1.5405076804462638
5.5,0.3,15,48,47.91666666666667,1.2257774012945821,14.215760190351903,-12.55825515210914,1.131985297174376
5.5,0.3,20,47,48.93617021276596,1.1840943721886248,12.256170132688549,-16.707602071006537,0.7335684726390054
5.5,0.3,25,47,44.680851063829785,1.2375556230438747,16.697404436216566,-15.130003838641079,1.103595518830765
5.5,0.3,30,47,46.808510638297875,1.249491530021965,18.045412862660452,-13.360159822590346,1.350688397615419
5.5,0.4,15,48,47.91666666666667,1.1997913819100312,12.465569645150607,-12.55825515210913,0.9926195553573415
5.5,0.4,20,47,48.93617021276596,1.157770404556167,10.404889117846015,-16.85975803374732,0.6171434428073688
5.5,0.4,25,47,44.680851063829785,1.2069567833752968,14.379304390490452,-15.311775505692147,0.9391010458026211
5.5,0.4,30,47,46.808510638297875,1.21964085918584,15.700535714135203,-13.545722081272919,1.1590770591581332
6.0,0.1,15,48,47.91666666666667,1.2800962033226075,17.96916820577224,-12.558255152109155,1.430865035637879
6.0,0.1,20,47,48.93617021276596,1.238968077885095,16.22025070154439,-16.402889534249155,0.988865447619859
6.0,0.1,25,47,44.680851063829785,1.3008145265705637,21.649773473806945,-14.943882774263928,1.448738176071066
