trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
2.0,0.6,4.5,30,11,90.9,29.796,9.04,10903.82,-0.31,28.9
2.0,0.6,4.5,0,11,90.9,7.03,7.94,10794.44,-1.31,6.052
2.0,0.6,5.0,18,11,63.6,5.317,5.76,10575.9,-0.71,8.163
2.0,0.6,5.0,22,11,72.7,10.137,7.75,10775.09,-0.53,14.716
2.0,0.6,5.0,25,11,90.9,60.765,9.19,10919.15,-0.15,59.98
2.0,0.6,5.0,30,11,90.9,31.5,9.57,10957.31,-0.31,30.61
2.0,0.6,5.0,0,11,90.9,7.432,8.47,10847.39,-1.31,6.455
2.0,0.6,5.5,18,11,63.6,5.697,6.28,10627.65,-0.71,8.896
2.0,0.6,5.5,22,11,72.7,10.759,8.28,10827.81,-0.53,15.717
2.0,0.6,5.5,25,11,90.9,64.239,9.73,10972.58,-0.15,63.467
2.0,0.6,5.5,30,11,90.9,33.208,10.11,11010.92,-0.31,32.324
2.0,0.6,5.5,0,11,90.9,7.835,9.0,10900.47,-1.31,6.859
2.0,0.6,6.0,18,11,63.6,6.076,6.8,10679.52,-0.71,9.632
2.0,0.6,6.0,22,11,72.7,11.382,8.81,10880.67,-0.53,16.72
2.0,0.6,6.0,25,11,90.9,67.721,10.26,11026.13,-0.15,66.962
2.0,0.6,6.0,30,11,90.9,34.92,10.65,11064.67,-0.31,34.043
2.0,0.6,6.0,0,11,90.9,8.239,9.54,10953.67,-1.31,7.265
2.0,0.8,4.0,18,11,63.6,4.174,4.21,10420.76,-0.71,5.964
2.0,0.8,4.0,22,11,72.7,8.167,6.07,10606.57,-0.53,11.516
2.0,0.8,4.0,25,11,90.9,49.01,7.38,10737.64,-0.15,48.136
2.0,0.8,4.0,30,11,90.9,25.381,7.64,10764.49,-0.31,24.445
2.0,0.8,4.0,0,11,90.9,5.988,6.57,10656.51,-1.31,5.001
2.0,0.8,4.5,18,11,63.6,4.555,4.72,10472.0,-0.71,6.69
2.0,0.8,4.5,22,11,72.7,8.783,6.59,10658.72,-0.53,12.506
2.0,0.8,4.5,25,11,90.9,52.447,7.9,10790.43,-0.15,51.581
2.0,0.8,4.5,30,11,90.9,27.069,8.17,10817.42,-0.31,26.137
2.0,0.8,4.5,0,11,90.9,6.386,7.09,10708.91,-1.31,5.4
2.0,0.8,5.0,18,11,63.6,4.935,5.23,10523.37,-0.71,7.418
2.0,0.8,5.0,22,11,72.7,9.401,7.11,10711.0,-0.53,13.499
2.0,0.8,5.0,25,11,90.9,55.891,8.43,10843.36,-0.15,55.035
2.0,0.8,5.0,30,11,90.9,28.761,8.7,10870.48,-0.31,27.834
2.0,0.8,5.0,0,11,90.9,6.785,7.61,10761.44,-1.31,5.8
2.0,0.8,5.5,18,11,63.6,5.315,5.75,10574.86,-0.71,8.148
2.0,0.8,5.5,22,11,72.7,10.02,7.63,10763.41,-0.53,14.494
2.0,0.8,5.5,25,11,90.9,59.345,8.96,10896.42,-0.15,58.497
2.0,0.8,5.5,30,11,90.9,30.458,9.24,10923.67,-0.31,29.535
2.0,0.8,5.5,0,11,90.9,7.185,8.14,10814.09,-1.31,6.201
2.0,0.8,6.0,18,11,63.6,5.695,6.26,10626.48,-0.71,8.88
2.0,0.8,6.0,22,11,72.7,10.641,8.16,10815.95,-0.53,15.491
2.0,0.8,6.0,25,11,90.9,62.806,9.5,10949.6,-0.15,61.968
2.0,0.8,6.0,30,11,90.9,32.158,9.77,10976.99,-0.31,31.239
2.0,0.8,6.0,0,11,90.9,7.586,8.67,10866.88,-1.31,6.604
2.5,0.3,4.0,18,11,54.5,4.325,6.17,10617.09,-1.19,5.171
2.5,0.3,4.0,22,11,63.6,8.121,8.51,10851.3,-0.85,10.029
2.5,0.3,4.0,25,11,90.9,67.803,10.41,11040.86,-0.15,67.923
2.5,0.3,4.0,30,11,90.9,39.846,12.35,11235.24,-0.31,39.497
2.5,0.3,4.0,0,11,90.9,10.478,12.65,11265.03,-1.31,9.637
2.5,0.3,4.5,18,11,54.5,4.734,6.96,10695.53,-1.19,5.829
2.5,0.3,4.5,22,11,63.6,8.773,9.31,10931.47,-0.85,10.974
2.5,0.3,4.5,25,11,90.9,72.862,11.22,11122.43,-0.15,73.246
2.5,0.3,4.5,30,11,90.9,42.355,13.18,11318.25,-0.31,42.151
2.5,0.3,4.5,0,11,90.9,11.285,13.76,11376.15,-1.31,10.483
2.5,0.3,5.0,18,11,54.5,4.96,7.38,10737.8,-1.19,6.183
2.5,0.3,5.0,22,11,63.6,9.141,9.75,10974.67,-0.85,11.483
2.5,0.3,5.0,25,11,90.9,75.747,11.66,11166.38,-0.15,76.114
2.5,0.3,5.0,30,11,90.9,43.799,13.63,11362.98,-0.31,43.581
