adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
35,0.9,0.7,4.0,2.0,12,8,4,0,8,4,66.7,8.57,-2.52,3.4
33,0.9,0.7,3.0,2.0,14,9,5,0,9,5,64.3,8.53,-3.64,2.34
33,0.9,0.7,4.0,2.0,14,9,5,0,9,5,64.3,8.53,-3.64,2.34
33,1.5,0.7,3.0,2.0,13,11,2,0,11,2,84.6,8.51,-2.26,3.77
33,1.5,0.7,4.0,2.0,13,11,2,0,11,2,84.6,8.51,-2.26,3.77
33,1.5,1.0,2.0,2.0,13,11,2,5,6,2,84.6,8.46,-2.26,3.75
33,1.1,0.5,2.0,3.0,14,9,5,8,1,5,64.3,8.45,-3.52,2.4
35,1.5,0.7,2.0,2.0,11,10,1,1,9,1,90.9,8.44,-1.18,7.16
35,1.5,1.0,2.0,2.0,11,10,1,4,6,1,90.9,8.43,-1.18,7.15
30,1.5,0.7,2.0,3.0,19,13,6,11,2,6,68.4,8.35,-3.47,2.41
33,1.5,0.5,4.0,3.0,12,7,5,0,7,5,58.3,8.35,-3.37,2.47
33,1.5,0.5,3.0,3.0,12,7,5,0,7,5,58.3,8.35,-3.37,2.47
35,1.5,0.3,3.0,3.0,10,6,4,0,6,4,60.0,8.34,-2.31,3.62
35,1.5,0.3,4.0,3.0,10,6,4,0,6,4,60.0,8.34,-2.31,3.62
35,1.1,0.2,2.0,3.0,12,8,4,7,1,4,66.7,8.31,-2.42,3.43
33,1.2,0.7,2.0,2.0,13,10,3,1,9,3,76.9,8.31,-2.33,3.57
35,0.8,1.0,2.0,3.0,12,7,5,6,1,5,58.3,8.29,-2.58,3.21
33,1.1,0.7,2.0,3.0,14,9,5,8,1,5,64.3,8.26,-3.52,2.35
35,1.1,0.3,2.0,3.0,12,8,4,7,1,4,66.7,8.21,-2.42,3.39
33,0.9,1.0,2.0,2.0,14,9,5,4,5,5,64.3,8.17,-3.64,2.24
33,1.1,0.3,2.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
33,1.1,0.3,3.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
33,1.1,0.3,4.0,2.0,14,9,5,0,9,5,64.3,8.06,-3.52,2.29
35,1.1,0.5,2.0,3.0,12,8,4,7,1,4,66.7,8.02,-2.42,3.31
28,1.5,0.5,2.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
28,1.5,0.5,3.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
28,1.5,0.5,4.0,2.0,26,17,9,0,17,9,65.4,8.02,-3.65,2.2
33,1.5,0.7,2.0,2.0,13,11,2,1,10,2,84.6,7.98,-2.26,3.53
33,1.1,1.0,2.0,3.0,14,9,5,8,1,5,64.3,7.97,-3.52,2.26
33,1.2,0.7,3.0,3.0,13,7,6,0,7,6,53.8,7.95,-3.48,2.29
33,1.2,0.7,4.0,3.0,13,7,6,0,7,6,53.8,7.95,-3.48,2.29
30,1.5,1.0,2.0,3.0,19,13,6,11,2,6,68.4,7.93,-3.47,2.28
35,1.1,0.7,4.0,3.0,11,6,5,0,6,5,54.5,7.92,-2.42,3.27
35,1.1,0.7,3.0,3.0,11,6,5,0,6,5,54.5,7.92,-2.42,3.27
35,1.1,0.3,3.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
35,1.1,0.3,4.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
35,1.1,0.3,2.0,2.0,12,8,4,0,8,4,66.7,7.9,-2.42,3.26
