preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.4,25,2.5,23,60.9,2.161,23.05,12304.82,-5.64,4.086
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.3,20,2.0,23,65.2,2.395,23.04,12303.59,-6.31,3.651
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.5,20,2.5,23,65.2,2.328,23.04,12304.17,-6.28,3.67
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.5,0.2,0,2.5,23,52.2,1.911,23.03,12303.29,-9.48,2.429
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.1,20,2.0,23,65.2,2.39,23.02,12302.18,-6.31,3.649
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.3,0,2.5,23,56.5,1.979,22.96,12296.44,-9.48,2.422
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.2,20,2.5,23,60.9,2.202,22.95,12294.97,-6.28,3.655
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.2,20,2.5,23,60.9,2.202,22.95,12294.97,-6.28,3.655
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.5,0,2.5,23,56.5,1.975,22.92,12292.44,-9.48,2.418
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.1,20,2.5,23,65.2,2.297,22.91,12290.86,-5.96,3.844
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.5,0.1,25,2.5,23,56.5,2.041,22.91,12290.96,-5.64,4.061
relaxed,15,0.4,0.5,0.0,2.5,9.0,4.0,0.1,25,2.5,23,56.5,2.041,22.91,12290.96,-5.64,4.061
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,20,1.5,23,65.2,2.584,22.9,12290.41,-5.96,3.846
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.1,0,2.5,23,56.5,1.972,22.9,12290.38,-9.48,2.416
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.5,20,2.5,23,65.2,2.298,22.89,12288.86,-5.96,3.84
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.3,20,2.5,23,65.2,2.3,22.88,12287.56,-5.96,3.838
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.3,20,2.5,23,65.2,2.299,22.86,12285.67,-5.96,3.835
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.1,25,2.0,23,60.9,2.247,22.83,12282.66,-5.0,4.563
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.2,20,1.5,23,65.2,2.577,22.8,12280.3,-5.96,3.829
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.0,0.2,25,2.5,23,56.5,2.038,22.79,12278.58,-5.64,4.039
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.5,0.2,25,2.5,23,56.5,2.038,22.79,12278.58,-5.64,4.039
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.5,0.5,20,2.5,23,60.9,2.192,22.77,12276.6,-6.28,3.626
relaxed,15,0.4,0.5,0.0,2.0,9.0,4.0,0.5,20,2.5,23,60.9,2.192,22.77,12276.6,-6.28,3.626
relaxed,15,0.4,0.5,0.0,2.0,7.0,3.0,0.3,20,2.5,23,65.2,2.314,22.74,12274.32,-6.28,3.623
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.1,20,2.0,23,65.2,2.418,22.72,12272.26,-5.82,3.906
quality,20,0.3,0.7,0.001,2.0,10.0,4.5,0.1,0,2.5,10,60.0,3.576,22.72,12272.3,-6.04,3.763
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.1,25,2.5,23,52.2,2.04,22.69,12269.45,-8.0,2.838
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.4,25,2.5,23,56.5,2.133,22.69,12269.46,-8.0,2.838
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.1,25,2.5,23,52.2,2.04,22.69,12269.45,-8.0,2.838
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.5,0,2.5,23,56.5,1.964,22.67,12266.64,-9.48,2.391
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.2,25,2.0,23,60.9,2.241,22.66,12265.63,-5.0,4.529
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.4,25,2.5,23,60.9,2.141,22.65,12264.89,-5.64,4.015
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.1,20,2.0,23,60.9,2.237,22.64,12264.31,-6.31,3.589
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.5,0.1,20,2.0,23,60.9,2.237,22.64,12264.31,-6.31,3.589
relaxed,15,0.4,0.5,0.0,2.5,8.0,3.0,0.2,25,2.5,23,60.9,2.136,22.63,12263.23,-5.64,4.012
relaxed,15,0.4,0.5,0.0,2.5,9.0,4.5,0.1,0,2.5,23,56.5,1.858,22.63,12262.78,-5.97,3.79
relaxed,15,0.4,0.5,0.0,2.5,10.0,4.5,0.1,25,2.5,23,56.5,2.031,22.57,12256.95,-5.64,4.001
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,0,2.0,23,56.5,1.993,22.56,12255.69,-9.48,2.379
relaxed,15,0.4,0.5,0.0,2.0,10.0,4.0,0.5,20,2.5,23,60.9,2.181,22.53,12253.08,-6.28,3.589
