timestamp,symbol,version,total_trades,wins,losses,win_rate,net_return,max_drawdown,final_portfolio_value
2026-03-27T08:45:32.859391,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:35.144759,CLM,v1,0,0,0,0.00,97.47,0.00,19746.85
2026-03-27T08:45:37.403359,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:45:39.641783,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:45:42.075032,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:45:44.436801,CLM,v1,0,0,0,0.00,97.47,0.00,19746.85
2026-03-27T08:45:46.818405,CLM,v1,0,0,0,0.00,98.65,0.00,19864.91
2026-03-27T08:45:48.930446,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:45:51.217416,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:45:53.305016,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:45:55.660252,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:45:57.999980,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:00.358849,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:02.534755,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:04.812973,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:07.136645,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:09.480714,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:11.676776,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:14.002537,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:16.170523,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:18.247218,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:46:20.465821,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:22.859994,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:25.153323,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:27.457015,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:29.652276,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:32.092590,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:34.343441,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:36.675372,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:38.988786,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:41.199843,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:43.486104,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:45.664494,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:47.890613,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:50.300507,CLM,v1,0,0,0,0.00,96.69,0.00,19668.93
2026-03-27T08:46:52.620778,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:54.974370,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:57.351300,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:46:59.572925,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:01.945979,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:04.354349,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:06.603443,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:09.080198,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:11.386732,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:13.703831,CLM,v1,0,0,0,0.00,97.46,0.00,19746.06
2026-03-27T08:47:15.735223,CLM,v1,0,0,0,0.00,97.46,0.00,19746.06
2026-03-27T08:47:17.872554,CLM,v1,0,0,0,0.00,97.46,0.00,19746.06
2026-03-27T08:47:20.120432,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:22.417648,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:24.732879,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:27.045390,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:29.570313,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:32.021234,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:34.401160,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:36.612502,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:38.784451,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:41.074801,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:43.239400,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:45.521407,CLM,v1,0,0,0,0.00,96.68,0.00,19668.14
2026-03-27T08:47:47.783559,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:49.998641,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:52.578432,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:54.842924,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:57.182598,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:47:59.325404,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:01.257588,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:03.468393,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:05.636513,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:07.971787,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:10.161663,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:12.547311,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:14.690193,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:16.973075,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:19.249533,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:21.605844,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:23.965789,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:26.224420,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:28.527750,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:30.760190,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:33.010599,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
2026-03-27T08:48:35.353322,CLM,v1,0,0,0,0.00,97.07,0.00,19707.50
