TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
8.0,2.0,0.04,1.0,10,17.296105030713704,1.418541229080561,33
8.0,2.0,0.04,1.0,12,16.143221577873735,1.3940552296843076,32
8.0,2.0,0.04,1.0,15,16.143221577873735,1.3940552296843076,32
8.0,2.0,0.05,0.8,10,-9.7835309685119,0.847625885610781,41
8.0,2.0,0.05,0.8,12,-10.889216967999182,0.8289047167869473,40
8.0,2.0,0.05,0.8,15,-10.889216967999182,0.8289047167869473,40
8.0,2.0,0.05,1.0,10,14.76084104667681,1.3048270250623668,33
8.0,2.0,0.05,1.0,12,13.354341140430082,1.2787927373846817,32
8.0,2.0,0.05,1.0,15,13.354341140430082,1.2787927373846817,32
10.0,1.5,0.03,0.8,10,-1.376450560396092,0.9744967636850816,43
10.0,1.5,0.03,0.8,12,-2.3458046423537993,0.9561936806569546,42
10.0,1.5,0.03,0.8,15,-2.3458046423537993,0.9561936806569546,42
10.0,1.5,0.03,1.0,10,14.901964935318812,1.3759874654024418,33
10.0,1.5,0.03,1.0,12,13.77261307799975,1.3506003884641922,32
10.0,1.5,0.03,1.0,15,13.77261307799975,1.3506003884641922,32
10.0,1.5,0.04,0.8,10,-8.478149282877146,0.8668562714856235,43
10.0,1.5,0.04,0.8,12,-9.634703072370442,0.847209029047538,42
10.0,1.5,0.04,0.8,15,-9.634703072370442,0.847209029047538,42
10.0,1.5,0.04,1.0,10,11.112317279699457,1.2343823163400902,33
10.0,1.5,0.04,1.0,12,9.708200442001225,1.2071295527814347,32
10.0,1.5,0.04,1.0,15,9.708200442001225,1.2071295527814347,32
10.0,1.5,0.05,0.8,10,-10.047106022452812,0.8493934274608798,43
10.0,1.5,0.05,0.8,12,-11.183833039995028,0.8307233802953338,42
10.0,1.5,0.05,0.8,15,-11.183833039995028,0.8307233802953338,42
10.0,1.5,0.05,1.0,10,11.951926913671906,1.243094327188856,33
10.0,1.5,0.05,1.0,12,10.537200000934078,1.2167995473483877,32
10.0,1.5,0.05,1.0,15,10.537200000934078,1.2167995473483877,32
10.0,2.0,0.03,0.8,10,1.6339383055721024,1.0374539303592054,41
10.0,2.0,0.03,0.8,12,0.8828858024451103,1.020339225187735,40
10.0,2.0,0.03,0.8,15,0.8828858024451103,1.020339225187735,40
10.0,2.0,0.03,1.0,10,17.517525247531584,1.5605958781362006,33
10.0,2.0,0.03,1.0,12,16.649096522147786,1.5363028436690673,32
